,mode,mean,5%,95%
rho_epsA,0.953329522177319,0.9520674179027794,0.9341082686969869,0.968920190245739
sigma_epsA,0.15207240695649948,0.15340869371491359,0.14157323349233503,0.16619385973570056
rho_epspsi,0.9858776187036863,0.984066293445336,0.9713155970835949,0.993173798181892
sigma_epspsi,0.5492418012807019,0.554360644304559,0.5072503291301874,0.6067616856299248
rho_epspsiW,0.9980591604728719,0.998061828097034,0.9977590320554308,0.9983640493089777
sigma_epspsiW,1.7528909522666678,1.759303196767983,1.618934716764273,1.9120477240986238
rho_epsg,0.8567526328610461,0.8538512364407979,0.8056630144098735,0.9035855292344228
sigma_epsg,0.6473885294475853,0.6522357158241749,0.6034425270642519,0.7052697748816863
rho_epsxi,0.632623845267127,0.6287349417370478,0.5758689594179974,0.6783470177940617
sigma_epsxi,0.44021157387829185,0.4438857511927044,0.4088560834196258,0.4830675036287263
rho_epstauP,0.9067319398842668,0.9074862460597846,0.8760811814446853,0.9362692053445907
sigma_epstauP,1.8285794954458088,1.8198784990267243,1.476086195925634,2.2125495974333558
rho_epseta,0.8489486344276788,0.8424503752423833,0.7806292840952196,0.9092233222657858
sigma_epseta,2.374417305190456,2.455395895301646,2.0867364850302175,2.84403268904019
